name,selling_price,km_driven,fuel,seller_type,transmission,owner,company,year_old_2023
800 AC,60000,70000,Petrol,Individual,Manual,First Owner,Maruti,16
Wagon R,135000,50000,Petrol,Individual,Manual,First Owner,Maruti,16
Verna 1.6,600000,100000,Diesel,Individual,Manual,First Owner,Hyundai,11
RediGO T,250000,46000,Petrol,Individual,Manual,First Owner,Datsun,6
Amaze VX,450000,141000,Diesel,Individual,Manual,Second Owner,Honda,9
Alto LX,140000,125000,Petrol,Individual,Manual,First Owner,Maruti,16
Xcent 1.2,550000,25000,Petrol,Individual,Manual,First Owner,Hyundai,7
Indigo Grand,240000,60000,Petrol,Individual,Manual,Second Owner,Tata,9
Creta 1.6,850000,25000,Petrol,Individual,Manual,First Owner,Hyundai,8
Celerio Green,365000,78000,CNG,Individual,Manual,First Owner,Maruti,6
Sail 1.2,260000,35000,Petrol,Individual,Manual,First Owner,Chevrolet,8
Indigo Grand,250000,100000,Petrol,Individual,Manual,First Owner,Tata,9
Corolla Altis,1650000,25000,Petrol,Dealer,Automatic,First Owner,Toyota,5
Ciaz VXi,585000,24000,Petrol,Dealer,Manual,First Owner,Maruti,8
Venue SX,1195000,5000,Diesel,Dealer,Manual,First Owner,Hyundai,4
Enjoy TCDi,390000,33000,Diesel,Individual,Manual,Second Owner,Chevrolet,10
XF 2.2,1964999,28000,Diesel,Dealer,Automatic,First Owner,Jaguar,9
New C-Class,1425000,59000,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz,10
Vitara Brezza,975000,4500,Diesel,Dealer,Automatic,First Owner,Maruti,5
Q5 2.0,1190000,175900,Diesel,Dealer,Automatic,First Owner,Audi,12
City V,930000,14500,Petrol,Dealer,Manual,First Owner,Honda,5
Tigor 1.2,525000,15000,Petrol,Individual,Manual,First Owner,Tata,5
A6 2.0,1735000,50000,Diesel,Dealer,Automatic,First Owner,Audi,10
New C-Class,1375000,33800,Diesel,Dealer,Automatic,Second Owner,Mercedes-Benz,11
Superb Ambition,450000,130400,Diesel,Dealer,Automatic,Second Owner,Skoda,12
Corolla Altis,900000,50000,Petrol,Individual,Automatic,First Owner,Toyota,7
Innova 2.5,1300000,80000,Diesel,Individual,Manual,First Owner,Toyota,8
Compass 1.4,1400000,10000,Petrol,Individual,Manual,First Owner,Jeep,4
E-Class E,850000,119000,Petrol,Dealer,Automatic,First Owner,Mercedes-Benz,13
i10 Magna,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai,9
3 Series,1550000,75800,Diesel,Dealer,Automatic,Second Owner,BMW,10
Q7 35,1250000,78000,Diesel,Dealer,Automatic,Third Owner,Audi,14
Elantra CRDi,625000,40000,Diesel,Individual,Manual,First Owner,Hyundai,11
Scorpio 1.99,1050000,50000,Diesel,Individual,Manual,First Owner,Mahindra,9
City i,560000,74000,Diesel,Individual,Manual,Second Owner,Honda,9
Wagon R,290000,64000,Petrol,Individual,Manual,Second Owner,Maruti,9
Wagon R,275000,60000,Petrol,Individual,Manual,Second Owner,Maruti,11
Scorpio LX,411000,120000,Diesel,Individual,Manual,Second Owner,Mahindra,14
Santro Xing,150000,79000,Petrol,Individual,Manual,Third Owner,Hyundai,14
Grand i10,500000,15000,Petrol,Individual,Manual,First Owner,Hyundai,4
Alto LXi,100000,80000,Petrol,Individual,Manual,First Owner,Maruti,17
Swift Dzire,725000,18500,Diesel,Dealer,Manual,First Owner,Maruti,6
Eeco 5,401000,10200,Petrol,Dealer,Manual,First Owner,Maruti,5
i20 Sportz,750000,29000,Diesel,Dealer,Manual,First Owner,Hyundai,5
Omni Maruti,310000,28000,Petrol,Dealer,Manual,First Owner,Maruti,5
Swift ZDi,665000,46000,Diesel,Dealer,Manual,First Owner,Maruti,7
i20 2015-2017,465000,70000,Diesel,Dealer,Manual,First Owner,Hyundai,9
Alto LXi,160000,60000,Petrol,Individual,Manual,Second Owner,Maruti,11
Jeep CL,250000,35000,Diesel,Individual,Manual,Second Owner,Mahindra,27
City i,675000,90000,Diesel,Dealer,Manual,First Owner,Honda,9
Wagon R,300000,80000,Petrol,Dealer,Manual,First Owner,Maruti,10
Indica DLS,70000,80000,Diesel,Individual,Manual,First Owner,Tata,18
